sample_index,pm25_ugm3,pm10_ugm3
1280,4.0,11.4
1281,4.2,11.7
1282,4.1,10.7
1283,4.1,10.7
1284,4.1,9.5
1285,4.1,9.6
1286,4.1,9.5
1287,4.1,8.7
1288,4.0,8.8
1289,4.0,8.8
1290,4.1,10.0
1291,4.0,9.9
1292,4.0,10.3
1293,3.9,9.7
1294,3.9,9.9
1295,3.9,10.6
1296,3.8,10.6
1297,3.8,11.2
1298,3.7,12.2
1299,3.6,12.3
1300,3.6,12.8
1301,3.4,13.1
1302,3.4,13.3
1303,3.4,13.9
1304,3.3,13.8
1305,3.2,13.7
1306,3.2,13.6
1307,3.1,14.3
1308,3.0,14.2
1309,3.0,13.7
1310,3.1,14.0
1311,2.9,13.5
1312,2.9,13.6
1313,2.9,13.7
1314,2.9,13.8
1315,2.8,13.8
1316,2.8,14.0
1317,2.7,13.9
1318,2.7,14.1
1319,2.7,15.0
1320,2.6,13.9
1321,2.6,14.2
1322,2.6,13.0
1323,2.6,13.0
1324,2.6,14.2
1325,2.6,13.1
1326,2.6,13.1
1327,2.6,12.5
1328,2.6,11.3
1329,2.7,11.0
1330,2.6,10.4
1331,2.6,10.0
1332,2.6,9.9
1333,2.6,9.3
1334,2.7,9.4
1335,2.7,9.5
1336,2.8,9.5
1337,2.8,9.5
1338,2.9,10.4
1339,3.0,10.8
1340,2.9,10.6
1341,3.1,11.6
1342,3.4,11.9
1343,3.7,12.4
1344,4.1,16.2
1345,4.4,17.6
1346,4.7,18.1
1347,5.0,18.4
1348,5.2,18.5
1349,5.5,17.9
1350,5.7,18.1
1351,5.8,17.8
1352,5.9,18.4
1353,6.0,18.5
